Wavelength	Extintion_coeff
1882.18194	0
1885.77291	0
1889.36389	0
1892.95486	0
1896.54583	0
1900.1368	0
1903.72777	0
1907.31874	0
1910.90971	0
1914.50068	0
1918.09166	0
1921.68263	0
1925.2736	0
1928.86457	0
1932.45554	0
1936.04651	0
1939.63748	0
1943.22845	0
1946.81943	0
1950.4104	0
1954.00137	0
1957.59234	0
1961.18331	0
1964.77428	0
1968.36525	0
1971.95622	0
1975.5472	0
1979.13817	0
1982.72914	0
1986.32011	0
1989.91108	0
1993.50205	0
1997.09302	0
2000.68399	0
