Wavelength	k_Cardona	
213.36417	0.57575
213.34581	0.57544
213.32746	0.57515
213.30911	0.57486
213.29077	0.57459
213.27242	0.57432
213.25409	0.57408
213.23575	0.57384
213.21742	0.57361
213.19909	0.5734
213.18076	0.5732
213.16244	0.57301
213.14412	0.57283
213.1258	0.57267
213.10749	0.57252
213.08917	0.57238
213.07087	0.57225
213.05256	0.57214
213.03426	0.57203
213.01596	0.57194
212.99767	0.57187
212.97938	0.5718
212.96109	0.57175
212.9428	0.57171
212.92452	0.57168
212.90624	0.57166
212.88796	0.57165
212.86969	0.57166
212.85142	0.57168
212.83315	0.57171
212.81489	0.57176
212.79663	0.57181
212.77837	0.57188
212.76012	0.57196
212.74187	0.57205
212.72362	0.57213
212.70537	0.57221
212.68677	0.5723
212.66853	0.57238
212.65029	0.57246
212.63206	0.57254
212.61383	0.57263
212.5956	0.57271
212.57738	0.57279
212.55916	0.57288
212.54094	0.57296
212.52273	0.57304
212.50452	0.57313
212.48631	0.57321
212.46811	0.57329
212.44991	0.57338
212.43171	0.57346
212.41351	0.57354
212.39532	0.57362
212.37713	0.57371
212.35895	0.57379
212.34077	0.57387
212.32259	0.57396
212.30441	0.57404
212.28624	0.57412
212.26807	0.57421
212.2499	0.57429
212.23174	0.57437
212.21358	0.57445
212.19542	0.57454
212.17726	0.57462
212.15911	0.5747
212.14096	0.57479
212.12282	0.57487
212.10468	0.57495
212.08654	0.57503
212.0684	0.57512
212.05027	0.5752
212.03214	0.57528
212.01401	0.57536
211.99589	0.57545
211.97777	0.57553
211.95929	0.57561
211.94118	0.5757
211.92307	0.57578
211.90496	0.57586
211.88685	0.57594
211.86875	0.57603
211.85065	0.57611
211.83256	0.57619
211.81446	0.57627
211.79637	0.57636
211.77829	0.57644
211.76021	0.57653
211.74213	0.57661
211.72405	0.5767
211.70597	0.57678
211.6879	0.57687
211.66984	0.57696
211.65177	0.57705
211.63371	0.57714
211.61565	0.57723
211.5976	0.57732
211.57954	0.57741
211.56149	0.5775
211.54345	0.5776
211.52541	0.57769
211.50737	0.57778
211.48933	0.57788
211.47129	0.57797
211.45326	0.57807
211.43524	0.57817
211.41721	0.57827
211.39919	0.57837
211.38117	0.57847
211.36316	0.57856
211.34514	0.57867
211.32713	0.57877
211.30913	0.57887
211.29113	0.57897
211.27313	0.57908
211.25513	0.57918
211.23677	0.57928
211.21878	0.57937
211.2008	0.57945
211.18281	0.57952
211.16483	0.57958
211.14685	0.57964
211.12888	0.57968
211.1109	0.57973
211.09293	0.57976
211.07497	0.57978
211.057	0.57979
211.03904	0.5798
211.02109	0.5798
211.00313	0.57979
210.98518	0.57977
210.96723	0.57974
210.94929	0.57971
210.93135	0.57966
210.91341	0.57961
210.89547	0.57955
210.87754	0.57948
210.85961	0.5794
210.84168	0.57931
210.82376	0.57921
210.80584	0.5791
210.78792	0.57899
210.77001	0.57886
210.7521	0.57873
210.73419	0.57859
210.71628	0.57844
210.69838	0.57828
210.68048	0.57811
210.66258	0.57793
210.64469	0.57774
210.6268	0.57755
210.60891	0.57734
210.59103	0.57713
210.57315	0.57691
210.55527	0.57668
210.5374	0.57644
210.51917	0.57619
210.5013	0.57593
210.48343	0.57566
210.46557	0.57539
210.44771	0.57511
210.42985	0.57482
210.412	0.57454
210.39415	0.57425
210.3763	0.57397
210.35846	0.57369
210.34062	0.5734
210.32278	0.57312
210.30494	0.57284
210.28711	0.57255
210.26928	0.57227
210.25145	0.57198
210.23363	0.5717
210.21581	0.57142
210.19799	0.57113
210.18018	0.57085
210.16237	0.57056
210.14456	0.57028
210.12675	0.57
210.10895	0.56971
210.09115	0.56943
210.07336	0.56915
210.05556	0.56886
210.03777	0.56858
210.01999	0.56829
210.0022	0.56801
209.98442	0.56773
209.96664	0.56743
209.94887	0.56713
209.9311	0.56681
209.91333	0.56649
209.89556	0.56615
209.8778	0.56581
209.86004	0.56545
209.84228	0.56508
209.82453	0.56471
209.80642	0.56432
209.78867	0.56392
209.77093	0.56351
209.75318	0.56309
209.73545	0.56266
209.71771	0.56222
209.69998	0.56177
209.68225	0.56131
209.66452	0.56084
209.6468	0.56036
209.62907	0.55987
209.61136	0.55937
209.59364	0.55886
209.57593	0.55834
209.55822	0.5578
209.54051	0.55726
209.52281	0.55671
209.50511	0.55614
209.48741	0.55557
209.46972	0.55498
209.45203	0.55439
209.43434	0.55378
209.41666	0.55317
209.39897	0.55254
209.3813	0.5519
209.36362	0.55126
209.34595	0.5506
209.32828	0.54993
209.31061	0.54925
209.29294	0.54856
209.27528	0.54786
209.25762	0.54715
209.23997	0.54643
209.22232	0.5457
209.20467	0.54495
209.18702	0.54419
209.16938	0.54342
209.15174	0.54266
209.1341	0.54189
209.11647	0.54112
209.09848	0.54035
209.08085	0.53957
209.06323	0.53879
209.04561	0.53801
209.02799	0.53723
209.01037	0.53645
208.99276	0.53566
208.97515	0.53488
208.95754	0.53409
208.93993	0.53331
208.92233	0.53252
208.90473	0.53174
208.88714	0.53096
208.86954	0.53018
208.85195	0.52941
208.83437	0.52863
208.81678	0.52786
208.7992	0.52708
208.78162	0.52631
208.76405	0.52554
208.74648	0.52478
208.72891	0.52401
208.71134	0.52324
208.69378	0.52248
208.67622	0.52172
208.65866	0.52096
208.64111	0.5202
208.62356	0.51944
208.60601	0.51869
208.58846	0.51793
208.57092	0.51718
208.55338	0.51643
208.53584	0.51568
208.51831	0.51493
208.50078	0.51418
208.48325	0.51344
208.46573	0.5127
208.4482	0.51196
208.43069	0.51123
208.41317	0.5105
208.39531	0.50977
208.3778	0.50905
208.36029	0.50833
208.34278	0.50761
208.32528	0.5069
208.30778	0.50619
208.29029	0.50549
208.2728	0.50479
208.25531	0.50409
208.23782	0.5034
208.22034	0.50271
208.20286	0.50203
208.18538	0.50135
208.1679	0.50067
208.15043	0.49998
208.13296	0.4993
208.1155	0.49862
208.09803	0.49794
208.08057	0.49726
208.06312	0.49658
208.04566	0.4959
208.02821	0.49522
208.01076	0.49454
207.99332	0.49386
207.97587	0.49319
207.95844	0.49252
207.941	0.49187
207.92356	0.49122
207.90613	0.49058
207.88871	0.48996
207.87128	0.48934
207.85386	0.48873
207.83644	0.48813
207.81902	0.48755
207.80161	0.48697
207.7842	0.4864
207.76679	0.48584
207.74939	0.48529
207.73199	0.48474
207.71459	0.48421
207.69684	0.48369
207.67945	0.48318
207.66206	0.48268
207.64467	0.48218
207.62729	0.4817
207.60991	0.48123
207.59253	0.48076
207.57515	0.4803
207.55778	0.47986
207.54041	0.47942
207.52305	0.479
207.50568	0.47858
207.48832	0.47817
207.47096	0.47777
207.45361	0.47738
207.43626	0.47701
207.41891	0.47664
207.40156	0.47628
207.38422	0.47593
207.36688	0.47558
207.34954	0.47525
207.3322	0.47493
207.31487	0.47462
207.29754	0.47431
207.28022	0.47402
207.26289	0.47374
207.24557	0.47346
207.22826	0.4732
207.21094	0.47294
207.19363	0.47269
207.17632	0.47244
207.15901	0.47219
207.14171	0.47194
207.12441	0.47169
207.10711	0.47144
207.08982	0.47119
207.07253	0.47094
207.05524	0.47069
207.03795	0.47044
207.02067	0.47019
207.00305	0.46994
206.98577	0.46969
206.9685	0.46944
206.95122	0.46919
206.93396	0.46894
206.91669	0.46869
206.89943	0.46844
206.88217	0.46819
206.86491	0.46794
206.84766	0.4677
206.83041	0.46745
206.81316	0.4672
206.79591	0.46695
206.77867	0.4667
206.76143	0.46645
206.7442	0.4662
206.72696	0.46595
206.70973	0.4657
206.6925	0.46545
206.67528	0.46519
206.65806	0.46493
206.64084	0.46468
206.62362	0.46442
206.60641	0.46416
206.5892	0.46389
206.57199	0.46363
206.55478	0.46337
206.53758	0.4631
206.52038	0.46283
206.50318	0.46257
206.48599	0.4623
206.4688	0.46202
206.45161	0.46175
206.43443	0.46148
206.41725	0.46121
206.40007	0.46093
206.38289	0.46065
206.36572	0.46037
206.34855	0.46009
206.33138	0.45981
206.31387	0.45953
206.29671	0.45925
206.27955	0.45896
206.26239	0.45868
206.24524	0.45839
206.22809	0.4581
206.21094	0.45781
206.1938	0.45752
206.17665	0.45723
206.15951	0.45694
206.14238	0.45665
206.12524	0.45635
206.10811	0.45606
206.09099	0.45576
206.07386	0.45546
206.05674	0.45516
206.03962	0.45486
206.0225	0.45456
206.00539	0.45426
205.98828	0.45395
205.97117	0.45365
205.95407	0.45335
205.93696	0.45304
205.91986	0.45274
205.90277	0.45244
205.88567	0.45214
205.86858	0.45184
205.85149	0.45154
205.83441	0.45123
205.81733	0.45093
205.80025	0.45063
205.78317	0.45033
205.7661	0.45004
205.74903	0.44976
205.73196	0.44949
205.71489	0.44922
205.69783	0.44897
205.68077	0.44873
205.66371	0.4485
205.64666	0.44828
205.62927	0.44807
205.61222	0.44787
205.59517	0.44768
205.57813	0.4475
205.56109	0.44733
205.54405	0.44717
205.52702	0.44702
205.50999	0.44688
205.49296	0.44675
205.47593	0.44664
205.45891	0.44653
205.44189	0.44643
205.42487	0.44634
205.40786	0.44626
205.39085	0.4462
205.37384	0.44614
205.35683	0.44609
205.33983	0.44606
205.32283	0.44603
205.30583	0.44601
205.28884	0.44601
205.27184	0.44601
