Wavelenght	Refractive Index
233	3.674193414
233.1666667	3.671448287
233.3333333	3.668686197
233.5	3.665902548
233.6666667	3.663092732
233.8333333	3.660252126
234	3.657376091
234.1666667	3.654459976
234.3333333	3.651499291
234.5	3.64849522
234.6666667	3.645452495
234.8333333	3.64237531
235	3.639267874
235.1666667	3.636134409
235.3333333	3.632979151
235.5	3.629806354
235.6666667	3.626620284
235.8333333	3.623425225
236	3.620225475
236.1666667	3.61702535
236.3333333	3.613829181
236.5	3.610641314
236.6666667	3.607466114
236.8333333	3.604307947
237	3.601170091
237.1666667	3.598056177
237.3333333	3.594970584
237.5	3.591917702
237.6666667	3.588901935
237.8333333	3.5859277
238	3.582999429
238.1666667	3.580121566
238.3333333	3.577298566
238.5	3.574534896
238.6666667	3.571835034
238.8333333	3.569203468
239	3.566644696
239.1666667	3.564163661
239.3333333	3.561762561
239.5	3.559436134
239.6666667	3.557178556
239.8333333	3.554983983
240	3.552846551
240.1666667	3.550760384
240.3333333	3.548719585
240.5	3.546718246
240.6666667	3.544750441
240.8333333	3.542810232
241	3.540891667
241.1666667	3.53898878
241.3333333	3.537095592
241.5	3.535206113
241.6666667	3.533314339
241.8333333	3.531414252
242	3.529499825
242.1666667	3.527565013
242.3333333	3.525603761
242.5	3.52361
242.6666667	3.521577646
242.8333333	3.519500598
243	3.517372743
243.1666667	3.515187387
243.3333333	3.512937103
243.5	3.510615713
243.6666667	3.508217073
243.8333333	3.505735017
244	3.503163355
244.1666667	3.500455804
244.3333333	3.497501505
244.5	3.494318533
244.6666667	3.49093365
244.8333333	3.48737368
245	3.483665531
245.1666667	3.479836202
245.3333333	3.475912797
245.5	3.471922531
245.6666667	3.467892741
245.8333333	3.463850889
246	3.459824563
246.1666667	3.455841484
246.3333333	3.451929496
246.5	3.448116569
246.6666667	3.44443079
246.8333333	3.440900357
247	3.437553564
247.1666667	3.434418794
247.3333333	3.431524498
247.5	3.428899179
247.6666667	3.426571371
247.8333333	3.424569617
248	3.422780895
248.1666667	3.421053922
248.3333333	3.419386364
248.5	3.417776024
248.6666667	3.416220694
248.8333333	3.414718161
249	3.413266204
249.1666667	3.411862596
249.3333333	3.410505103
249.5	3.409191487
249.6666667	3.407919501
249.8333333	3.406686894
250	3.40549141
250.1666667	3.404330788
250.3333333	3.403202761
250.5	3.402105057
250.6666667	3.401035401
250.8333333	3.399991512
251	3.398971106
251.1666667	3.39797008
251.3333333	3.396983148
251.5	3.396008271
251.6666667	3.395043469
251.8333333	3.39408676
252	3.393136155
252.1666667	3.39218966
252.3333333	3.391245275
252.5	3.390300991
252.6666667	3.389354793
252.8333333	3.388404654
253	3.387448539
253.1666667	3.386484404
253.3333333	3.385510192
253.5	3.384523836
253.6666667	3.383523257
253.8333333	3.382506364
254	3.381471055
254.1666667	3.380415215
254.3333333	3.379336719
254.5	3.378233427
254.6666667	3.377103189
254.8333333	3.375943843
255	3.374753215
255.1666667	3.373529122
255.3333333	3.372269367
255.5	3.370971746
255.6666667	3.369634044
255.8333333	3.368254999
256	3.366845247
256.1666667	3.365409297
256.3333333	3.363946771
256.5	3.362457644
256.6666667	3.360942932
256.8333333	3.359403653
257	3.357840826
257.1666667	3.356255475
257.3333333	3.354648625
257.5	3.353021304
257.6666667	3.351374542
257.8333333	3.349709374
258	3.348026833
258.1666667	3.346327961
258.3333333	3.344613797
258.5	3.342885386
258.6666667	3.341143775
258.8333333	3.339390013
259	3.337625153
259.1666667	3.33585025
259.3333333	3.334066362
259.5	3.33227455
259.6666667	3.330475878
259.8333333	3.328671413
260	3.326862224
260.1666667	3.325049383
260.3333333	3.323233967
260.5	3.321417052
260.6666667	3.319599722
260.8333333	3.317783059
261	3.315968152
261.1666667	3.31415609
261.3333333	3.312347968
261.5	3.31054488
261.6666667	3.308747928
261.8333333	3.306958212
262	3.305176839
262.1666667	3.303404917
262.3333333	3.301643584
262.5	3.299894207
262.6666667	3.298158004
262.8333333	3.296436134
