wl	Reflectancia
376.000000	 16.128000 
374.000000	 15.945000 
372.000000	 15.376000 
370.000000	 14.721000 
368.000000	 13.923000 
366.000000	 13.100000 
364.000000	 12.320000 
362.000000	 11.604000 
360.000000	 11.052000 
358.000000	 10.867000 
356.000000	 10.741000 
354.000000	 10.916000 
352.000000	 10.996000 
350.000000	 11.125000 
348.000000	 11.500000 
346.000000	 11.443000 
344.000000	 11.503000 
342.000000	 11.707000 
340.000000	 11.780000 
338.000000	 11.727000 
336.000000	 11.793000 
334.000000	 11.750000 
332.000000	 11.917000 
330.000000	 11.629000 
328.000000	 11.566000 
326.000000	 13.831000 
324.000000	 13.706000 
322.000000	 13.654000 
320.000000	 13.533000 
318.000000	 13.500000 
316.000000	 13.422000 
314.000000	 13.279000 
312.000000	 13.207000 
310.000000	 13.107000 
308.000000	 12.953000 
306.000000	 12.930000 
304.000000	 12.787000 
302.000000	 12.712000 
300.000000	 12.631000 
298.000000	 12.525000 
296.000000	 12.414000 
294.000000	 12.319000 
292.000000	 12.230000 
290.000000	 12.163000 
288.000000	 12.066000 
286.000000	 11.990000 
284.000000	 11.902000 
282.000000	 11.852000 
280.000000	 11.771000 
278.000000	 11.699000 
276.000000	 11.592000 
274.000000	 11.545000 
272.000000	 11.450000 
270.000000	 11.371000 
268.000000	 11.290000 
266.000000	 11.217000 
264.000000	 11.112000 
262.000000	 11.036000 
260.000000	 10.929000 
258.000000	 10.851000 
256.000000	 10.806000 
254.000000	 10.741000 
252.000000	 10.665000 
250.000000	 10.634000 
248.000000	 10.542000 
246.000000	 10.490000 
244.000000	 10.405000 
242.000000	 10.346000 
240.000000	 10.291000 
238.000000	 10.220000 
236.000000	 10.185000 
234.000000	 10.081000 
232.000000	 9.984000  
230.000000	 9.901999  
228.000000	 9.811000  
226.000000	 9.760000  
224.000000	 9.731000  
222.000000	 9.718999  
220.000000	 9.718999  
218.000000	 9.700000  
216.000000	 9.701000  
214.000000	 9.696999  
212.000000	 9.701000  
210.000000	 9.687999  
208.000000	 9.711000  
206.000000	 9.739000  
204.000000	 9.792000  
202.000000	 9.796000  
200.000000	 9.779999  

