"Wavelength (nm)"	Reflectance
882	0.2561071
883	0.2597302
884	0.2632723
885	0.266733
886	0.2701189
887	0.273431
888	0.276663
889	0.2798152
890	0.2828876
891	0.2858806
892	0.2887945
893	0.2916295
894	0.2943862
895	0.2970648
896	0.2996658
897	0.3021896
898	0.3046367
899	0.3070076
900	0.3093027
901	0.3115283
902	0.3136789
903	0.3157549
904	0.3177569
905	0.3196855
906	0.3215412
907	0.3233246
908	0.3250362
909	0.3266766
910	0.3282463
911	0.3297425
912	0.3311695
913	0.332528
914	0.3338185
915	0.3350414
916	0.3361974
917	0.337287
918	0.3383108
919	0.3392692
920	0.3401628
921	0.3409936
922	0.3417602
923	0.342463
924	0.3431026
925	0.3436794
926	0.344194
927	0.3446467
928	0.345038
929	0.3453684
930	0.3456383
931	0.3458485
932	0.3459993
933	0.3460913
934	0.3461249
935	0.3461003
936	0.3460181
937	0.3458786
938	0.3456822
939	0.3454291
940	0.3451199
941	0.3447548
942	0.3443343
943	0.3438585
944	0.3433279
945	0.3427428
946	0.3421035
947	0.3414103
948	0.3406636
949	0.3398636
950	0.3390107
951	0.3381011
952	0.3371388
953	0.3361241
954	0.3350606
955	0.3339546
956	0.3327971
957	0.3315882
958	0.3303286
959	0.3290181
960	0.3276574
961	0.3262523
962	0.3247979
963	0.3232941
964	0.3217417
965	0.3201404
966	0.318491
967	0.3167934
968	0.3150482
969	0.3132554
970	0.3114157
971	0.3095291
972	0.3075958
973	0.3056165
974	0.3035911
975	0.3015205
976	0.2994044
977	0.2972437
978	0.2950382
979	0.292789
980	0.2904957
981	0.2881501
982	0.2857609
983	0.2833292
984	0.2808548
985	0.2783388
986	0.2757813
987	0.2731825
988	0.2705436
989	0.2678644
990	0.2651461
991	0.2623998
992	0.2596158
993	0.2567942
994	0.2539363
995	0.251042
996	0.2481127
997	0.2451484
998	0.2421506
999	0.2391193
1000	0.2360559
