Wavelength	n_Cardona	
215.76024	2.39693
215.74147	2.3972
215.72271	2.39745
215.70394	2.39768
215.68518	2.3979
215.66643	2.3981
215.6473	2.39828
215.62855	2.39845
215.6098	2.39861
215.59106	2.39874
215.57232	2.39887
215.55358	2.39897
215.53485	2.39906
215.51612	2.39913
215.49739	2.39919
215.47867	2.39923
215.45995	2.39925
215.44123	2.39926
215.42251	2.39925
215.4038	2.39923
215.3851	2.39919
215.36639	2.39913
215.34769	2.39906
215.32899	2.39897
215.3103	2.39886
215.29161	2.39874
215.27292	2.3986
215.25423	2.39845
215.23555	2.39828
215.21687	2.3981
215.1982	2.3979
215.17953	2.39768
215.16086	2.39745
215.14219	2.39721
215.12353	2.39697
215.10487	2.39673
215.08622	2.39648
215.06756	2.39624
215.04891	2.396
215.03027	2.39576
215.01163	2.39551
214.99299	2.39527
214.97435	2.39503
214.95572	2.39478
214.93709	2.39454
214.91846	2.3943
214.89947	2.39406
214.88085	2.39381
214.86223	2.39357
214.84361	2.39333
214.825	2.39309
214.8064	2.39284
214.78779	2.3926
214.76919	2.39236
214.75059	2.39212
214.732	2.39187
214.71341	2.39163
214.69482	2.39139
214.67624	2.39114
214.65766	2.3909
214.63908	2.39066
214.6205	2.39042
214.60193	2.39017
214.58336	2.38993
214.5648	2.38968
214.54623	2.38944
214.52768	2.38919
214.50912	2.38895
214.49057	2.3887
214.47202	2.38846
214.45347	2.38821
214.43493	2.38796
214.41639	2.38771
214.39785	2.38747
214.37932	2.38722
214.36079	2.38697
214.34226	2.38672
214.32374	2.38647
214.30522	2.38622
214.2867	2.38597
214.26819	2.38571
214.24968	2.38546
214.23117	2.38521
214.21266	2.38496
214.19416	2.3847
214.17567	2.38445
214.1568	2.38419
214.13831	2.38395
214.11982	2.38371
214.10134	2.38348
214.08285	2.38325
214.06437	2.38304
214.0459	2.38284
214.02743	2.38264
214.00896	2.38246
213.99049	2.38228
213.97203	2.38211
213.95357	2.38195
213.93511	2.3818
213.91666	2.38165
213.89821	2.38152
213.87976	2.38139
213.86132	2.38128
213.84288	2.38117
213.82444	2.38107
213.80601	2.38098
213.78757	2.3809
213.76915	2.38083
213.75072	2.38077
213.7323	2.38072
213.71388	2.38067
213.69547	2.38064
213.67705	2.38061
213.65865	2.3806
213.64024	2.38059
213.62184	2.38059
213.60344	2.3806
213.58504	2.38063
213.56665	2.38066
213.54826	2.38071
213.52987	2.38076
213.51149	2.38084
213.49311	2.38092
213.47473	2.38101
213.45636	2.38112
213.43799	2.38124
213.41925	2.38137
213.40089	2.38151
213.38253	2.38167
213.36417	2.38184
213.34581	2.38202
213.32746	2.38221
213.30911	2.38241
213.29077	2.38261
213.27242	2.38282
213.25409	2.38302
213.23575	2.38323
213.21742	2.38345
213.19909	2.38366
213.18076	2.38388
213.16244	2.3841
213.14412	2.38433
213.1258	2.38456
213.10749	2.38479
213.08917	2.38502
213.07087	2.38526
213.05256	2.3855
213.03426	2.38574
213.01596	2.38599
212.99767	2.38624
212.97938	2.38649
212.96109	2.38674
212.9428	2.387
212.92452	2.38726
212.90624	2.38752
212.88796	2.38779
212.86969	2.38806
212.85142	2.38833
212.83315	2.3886
212.81489	2.38888
212.79663	2.38916
212.77837	2.38944
212.76012	2.38973
212.74187	2.39002
212.72362	2.3903
212.70537	2.39059
212.68677	2.39088
212.66853	2.39116
212.65029	2.39145
212.63206	2.39174
212.61383	2.39202
212.5956	2.39231
212.57738	2.3926
212.55916	2.39288
212.54094	2.39317
212.52273	2.39346
212.50452	2.39374
212.48631	2.39403
212.46811	2.39431
212.44991	2.3946
212.43171	2.39489
212.41351	2.39517
212.39532	2.39546
212.37713	2.39574
212.35895	2.39603
212.34077	2.39632
212.32259	2.3966
212.30441	2.39689
212.28624	2.39717
212.26807	2.39746
212.2499	2.39775
212.23174	2.39803
212.21358	2.39832
212.19542	2.3986
212.17726	2.39889
212.15911	2.39918
212.14096	2.39946
212.12282	2.39975
212.10468	2.40003
212.08654	2.40032
212.0684	2.4006
212.05027	2.40089
212.03214	2.40117
212.01401	2.40146
211.99589	2.40174
211.97777	2.40203
211.95929	2.40231
211.94118	2.4026
211.92307	2.40289
211.90496	2.40317
211.88685	2.40346
211.86875	2.40374
211.85065	2.40403
211.83256	2.40431
