"Wavelength (nm)"	Reflectance
815	0.3283982
816	0.32831
817	0.3282036
818	0.3280918
819	0.3279747
820	0.3278523
821	0.3277247
822	0.3275825
823	0.3274346
824	0.3272816
825	0.3271235
826	0.3269604
827	0.3267953
828	0.3266286
829	0.3264569
830	0.3262803
831	0.3260988
832	0.3259125
833	0.3257214
834	0.3255256
835	0.325325
836	0.3251198
837	0.3249099
838	0.3246954
839	0.3244764
840	0.3242528
841	0.3240248
842	0.3237923
843	0.3235553
844	0.323314
845	0.3230684
846	0.3228184
847	0.3225641
848	0.3223057
849	0.322043
850	0.3217761
851	0.3215051
852	0.32123
853	0.3209509
854	0.3206677
855	0.3203805
856	0.3200893
857	0.3197942
858	0.3194952
859	0.3191924
860	0.3188857
861	0.3185752
862	0.3182609
863	0.3179429
864	0.3176212
865	0.3172958
866	0.3169667
867	0.3166341
868	0.3162979
869	0.3159581
870	0.3156148
871	0.315268
872	0.3149177
873	0.3145641
874	0.314207
875	0.3138465
876	0.3134827
877	0.3131156
878	0.3127452
879	0.3123716
880	0.3119947
881	0.3116146
882	0.3112314
883	0.310845
884	0.3104555
885	0.310063
886	0.3096768
887	0.3093016
888	0.3089235
889	0.3085423
890	0.3081581
891	0.307771
892	0.3073809
893	0.306988
894	0.3065922
895	0.3061935
896	0.305792
897	0.3053877
898	0.3049806
899	0.3045708
900	0.3041583
901	0.3037431
902	0.3033251
903	0.3029046
904	0.3024814
905	0.3020556
906	0.3016273
907	0.3011964
908	0.3007629
909	0.300327
910	0.2998886
911	0.2994477
912	0.2990044
913	0.2985586
914	0.2981105
915	0.2976601
916	0.2972073
917	0.2967521
918	0.2962947
919	0.295835
920	0.2953731
921	0.2949089
922	0.2944425
923	0.293974
924	0.2935032
925	0.2930304
926	0.2925554
927	0.2920783
928	0.2915992
929	0.291118
930	0.2906348
931	0.2901495
932	0.2896623
933	0.2891731
934	0.288682
935	0.2881889
936	0.287694
937	0.2871971
938	0.2866984
939	0.2861979
940	0.2856955
941	0.2851913
942	0.2846854
943	0.2841777
944	0.2836682
945	0.2831571
946	0.2826442
947	0.2821297
948	0.2816135
949	0.2810956
