Wavelength(nm)	n	k
4.380000e+02	2.145563	0.000000
4.390000e+02	2.145215	0.000000
4.400000e+02	2.144870	0.000000
4.410000e+02	2.144527	0.000000
4.420000e+02	2.144187	0.000000
4.430000e+02	2.143849	0.000000
4.440000e+02	2.143515	0.000000
4.450000e+02	2.143182	0.000000
4.460000e+02	2.142853	0.000000
4.470000e+02	2.142525	0.000000
4.480000e+02	2.142201	0.000000
4.490000e+02	2.141878	0.000000
4.500000e+02	2.141558	0.000000
4.510000e+02	2.141241	0.000000
4.520000e+02	2.140926	0.000000
4.530000e+02	2.140613	0.000000
4.540000e+02	2.140303	0.000000
4.550000e+02	2.139995	0.000000
4.560000e+02	2.139689	0.000000
4.570000e+02	2.139386	0.000000
4.580000e+02	2.139085	0.000000
4.590000e+02	2.138786	0.000000
4.600000e+02	2.138489	0.000000
4.610000e+02	2.138194	0.000000
4.620000e+02	2.137902	0.000000
4.630000e+02	2.137612	0.000000
4.640000e+02	2.137324	0.000000
4.650000e+02	2.137037	0.000000
4.660000e+02	2.136753	0.000000
4.670000e+02	2.136472	0.000000
4.680000e+02	2.136192	0.000000
4.690000e+02	2.135914	0.000000
4.700000e+02	2.135638	0.000000
4.710000e+02	2.135364	0.000000
4.720000e+02	2.135092	0.000000
4.730000e+02	2.134822	0.000000
4.740000e+02	2.134554	0.000000
4.750000e+02	2.134287	0.000000
4.760000e+02	2.134023	0.000000
4.770000e+02	2.133761	0.000000
4.780000e+02	2.133500	0.000000
4.790000e+02	2.133241	0.000000
4.800000e+02	2.132984	0.000000
4.810000e+02	2.132729	0.000000
4.820000e+02	2.132475	0.000000
4.830000e+02	2.132224	0.000000
4.840000e+02	2.131974	0.000000
4.850000e+02	2.131726	0.000000
4.860000e+02	2.131479	0.000000
4.870000e+02	2.131234	0.000000
4.880000e+02	2.130991	0.000000
4.890000e+02	2.130749	0.000000
4.900000e+02	2.130510	0.000000
4.910000e+02	2.130271	0.000000
4.920000e+02	2.130035	0.000000
4.930000e+02	2.129800	0.000000
4.940000e+02	2.129566	0.000000
4.950000e+02	2.129334	0.000000
4.960000e+02	2.129104	0.000000
4.970000e+02	2.128875	0.000000
4.980000e+02	2.128648	0.000000
4.990000e+02	2.128422	0.000000
5.000000e+02	2.128198	0.000000
5.010000e+02	2.127975	0.000000
5.020000e+02	2.127754	0.000000
5.030000e+02	2.127534	0.000000
5.040000e+02	2.127316	0.000000
5.050000e+02	2.127099	0.000000
5.060000e+02	2.126883	0.000000
5.070000e+02	2.126669	0.000000
5.080000e+02	2.126457	0.000000
5.090000e+02	2.126245	0.000000
5.100000e+02	2.126035	0.000000
5.110000e+02	2.125827	0.000000
5.120000e+02	2.125619	0.000000
5.130000e+02	2.125413	0.000000
5.140000e+02	2.125209	0.000000
5.150000e+02	2.125005	0.000000
5.160000e+02	2.124803	0.000000
5.170000e+02	2.124603	0.000000
5.180000e+02	2.124403	0.000000
5.190000e+02	2.124205	0.000000
5.200000e+02	2.124008	0.000000
5.210000e+02	2.123812	0.000000
5.220000e+02	2.123618	0.000000
5.230000e+02	2.123425	0.000000
5.240000e+02	2.123233	0.000000
5.250000e+02	2.123042	0.000000
5.260000e+02	2.122852	0.000000
5.270000e+02	2.122664	0.000000
5.280000e+02	2.122477	0.000000
5.290000e+02	2.122291	0.000000
5.300000e+02	2.122106	0.000000
5.310000e+02	2.121922	0.000000
5.320000e+02	2.121739	0.000000
5.330000e+02	2.121558	0.000000
5.340000e+02	2.121377	0.000000
5.350000e+02	2.121198	0.000000
5.360000e+02	2.121020	0.000000
5.370000e+02	2.120842	0.000000
5.380000e+02	2.120666	0.000000
5.390000e+02	2.120491	0.000000
5.400000e+02	2.120317	0.000000
5.410000e+02	2.120144	0.000000
5.420000e+02	2.119973	0.000000
5.430000e+02	2.119802	0.000000
5.440000e+02	2.119632	0.000000
5.450000e+02	2.119463	0.000000
5.460000e+02	2.119295	0.000000
5.470000e+02	2.119129	0.000000
5.480000e+02	2.118963	0.000000
5.490000e+02	2.118798	0.000000
5.500000e+02	2.118634	0.000000
5.510000e+02	2.118471	0.000000
5.520000e+02	2.118309	0.000000
5.530000e+02	2.118148	0.000000
5.540000e+02	2.117988	0.000000
5.550000e+02	2.117829	0.000000
5.560000e+02	2.117671	0.000000
5.570000e+02	2.117514	0.000000
5.580000e+02	2.117358	0.000000
5.590000e+02	2.117202	0.000000
5.600000e+02	2.117048	0.000000
5.610000e+02	2.116894	0.000000
5.620000e+02	2.116741	0.000000
5.630000e+02	2.116590	0.000000
5.640000e+02	2.116439	0.000000
5.650000e+02	2.116289	0.000000
5.660000e+02	2.116139	0.000000
5.670000e+02	2.115991	0.000000
5.680000e+02	2.115843	0.000000
5.690000e+02	2.115697	0.000000
5.700000e+02	2.115551	0.000000
5.710000e+02	2.115406	0.000000
5.720000e+02	2.115262	0.000000
5.730000e+02	2.115118	0.000000
5.740000e+02	2.114976	0.000000
5.750000e+02	2.114834	0.000000
5.760000e+02	2.114693	0.000000
5.770000e+02	2.114553	0.000000
5.780000e+02	2.114413	0.000000
5.790000e+02	2.114275	0.000000
5.800000e+02	2.114137	0.000000
5.810000e+02	2.114000	0.000000
5.820000e+02	2.113863	0.000000
5.830000e+02	2.113728	0.000000
5.840000e+02	2.113593	0.000000
5.850000e+02	2.113459	0.000000
5.860000e+02	2.113325	0.000000
5.870000e+02	2.113193	0.000000
5.880000e+02	2.113061	0.000000
5.890000e+02	2.112930	0.000000
5.900000e+02	2.112799	0.000000
5.910000e+02	2.112669	0.000000
5.920000e+02	2.112540	0.000000
5.930000e+02	2.112412	0.000000
5.940000e+02	2.112284	0.000000
5.950000e+02	2.112157	0.000000
5.960000e+02	2.112031	0.000000
5.970000e+02	2.111905	0.000000
5.980000e+02	2.111780	0.000000
5.990000e+02	2.111656	0.000000
6.000000e+02	2.111533	0.000000
6.010000e+02	2.111410	0.000000
6.020000e+02	2.111287	0.000000
6.030000e+02	2.111166	0.000000
6.040000e+02	2.111045	0.000000
6.050000e+02	2.110924	0.000000
6.060000e+02	2.110805	0.000000
6.070000e+02	2.110686	0.000000
6.080000e+02	2.110567	0.000000
6.090000e+02	2.110449	0.000000
6.100000e+02	2.110332	0.000000
6.110000e+02	2.110216	0.000000
6.120000e+02	2.110100	0.000000
6.130000e+02	2.109984	0.000000
6.140000e+02	2.109869	0.000000
6.150000e+02	2.109755	0.000000
6.160000e+02	2.109642	0.000000
6.170000e+02	2.109529	0.000000
6.180000e+02	2.109416	0.000000
6.190000e+02	2.109304	0.000000
6.200000e+02	2.109193	0.000000
6.210000e+02	2.109083	0.000000
6.220000e+02	2.108972	0.000000
6.230000e+02	2.108863	0.000000
6.240000e+02	2.108754	0.000000
6.250000e+02	2.108645	0.000000
6.260000e+02	2.108538	0.000000
6.270000e+02	2.108430	0.000000
6.280000e+02	2.108323	0.000000
6.290000e+02	2.108217	0.000000
6.300000e+02	2.108112	0.000000
6.310000e+02	2.108006	0.000000
6.320000e+02	2.107902	0.000000
6.330000e+02	2.107798	0.000000
6.340000e+02	2.107694	0.000000
6.350000e+02	2.107591	0.000000
6.360000e+02	2.107488	0.000000
6.370000e+02	2.107386	0.000000
6.380000e+02	2.107285	0.000000
6.390000e+02	2.107184	0.000000
6.400000e+02	2.107083	0.000000
6.410000e+02	2.106983	0.000000
6.420000e+02	2.106884	0.000000
6.430000e+02	2.106785	0.000000
6.440000e+02	2.106686	0.000000
6.450000e+02	2.106588	0.000000
6.460000e+02	2.106490	0.000000
6.470000e+02	2.106393	0.000000
6.480000e+02	2.106297	0.000000
6.490000e+02	2.106201	0.000000
6.500000e+02	2.106105	0.000000
6.510000e+02	2.106010	0.000000
6.520000e+02	2.105915	0.000000
6.530000e+02	2.105821	0.000000
6.540000e+02	2.105727	0.000000
6.550000e+02	2.105633	0.000000
6.560000e+02	2.105541	0.000000
6.570000e+02	2.105448	0.000000
6.580000e+02	2.105356	0.000000
6.590000e+02	2.105264	0.000000
6.600000e+02	2.105173	0.000000
6.610000e+02	2.105083	0.000000
6.620000e+02	2.104992	0.000000
6.630000e+02	2.104903	0.000000
6.640000e+02	2.104813	0.000000
6.650000e+02	2.104724	0.000000
6.660000e+02	2.104636	0.000000
6.670000e+02	2.104547	0.000000
6.680000e+02	2.104460	0.000000
6.690000e+02	2.104372	0.000000
6.700000e+02	2.104285	0.000000
6.710000e+02	2.104199	0.000000
6.720000e+02	2.104113	0.000000
6.730000e+02	2.104027	0.000000
6.740000e+02	2.103942	0.000000
6.750000e+02	2.103857	0.000000
6.760000e+02	2.103773	0.000000
6.770000e+02	2.103689	0.000000
6.780000e+02	2.103605	0.000000
6.790000e+02	2.103522	0.000000
6.800000e+02	2.103439	0.000000
6.810000e+02	2.103356	0.000000
6.820000e+02	2.103274	0.000000
6.830000e+02	2.103192	0.000000
6.840000e+02	2.103111	0.000000
6.850000e+02	2.103030	0.000000
6.860000e+02	2.102949	0.000000
6.870000e+02	2.102869	0.000000
6.880000e+02	2.102789	0.000000
6.890000e+02	2.102709	0.000000
6.900000e+02	2.102630	0.000000
6.910000e+02	2.102551	0.000000
6.920000e+02	2.102473	0.000000
6.930000e+02	2.102395	0.000000
6.940000e+02	2.102317	0.000000
6.950000e+02	2.102240	0.000000
6.960000e+02	2.102163	0.000000
6.970000e+02	2.102086	0.000000
6.980000e+02	2.102010	0.000000
6.990000e+02	2.101934	0.000000
7.000000e+02	2.101858	0.000000
7.010000e+02	2.101783	0.000000
7.020000e+02	2.101708	0.000000
7.030000e+02	2.101633	0.000000
7.040000e+02	2.101559	0.000000
7.050000e+02	2.101485	0.000000
7.060000e+02	2.101411	0.000000
7.070000e+02	2.101338	0.000000
7.080000e+02	2.101265	0.000000
7.090000e+02	2.101192	0.000000
7.100000e+02	2.101120	0.000000
7.110000e+02	2.101048	0.000000
7.120000e+02	2.100976	0.000000
7.130000e+02	2.100905	0.000000
7.140000e+02	2.100834	0.000000
7.150000e+02	2.100763	0.000000
7.160000e+02	2.100692	0.000000
7.170000e+02	2.100622	0.000000
7.180000e+02	2.100552	0.000000
7.190000e+02	2.100483	0.000000
7.200000e+02	2.100414	0.000000
7.210000e+02	2.100345	0.000000
7.220000e+02	2.100276	0.000000
7.230000e+02	2.100208	0.000000
7.240000e+02	2.100140	0.000000
7.250000e+02	2.100072	0.000000
7.260000e+02	2.100005	0.000000
7.270000e+02	2.099937	0.000000
7.280000e+02	2.099870	0.000000
7.290000e+02	2.099804	0.000000
7.300000e+02	2.099738	0.000000
7.310000e+02	2.099672	0.000000
7.320000e+02	2.099606	0.000000
7.330000e+02	2.099540	0.000000
7.340000e+02	2.099475	0.000000
7.350000e+02	2.099410	0.000000
7.360000e+02	2.099346	0.000000
7.370000e+02	2.099281	0.000000
7.380000e+02	2.099217	0.000000
7.390000e+02	2.099154	0.000000
7.400000e+02	2.099090	0.000000
7.410000e+02	2.099027	0.000000
7.420000e+02	2.098964	0.000000
7.430000e+02	2.098901	0.000000
7.440000e+02	2.098839	0.000000
7.450000e+02	2.098776	0.000000
7.460000e+02	2.098715	0.000000
7.470000e+02	2.098653	0.000000
7.480000e+02	2.098591	0.000000
7.490000e+02	2.098530	0.000000
7.500000e+02	2.098469	0.000000
7.510000e+02	2.098409	0.000000
7.520000e+02	2.098348	0.000000
7.530000e+02	2.098288	0.000000
7.540000e+02	2.098228	0.000000
7.550000e+02	2.098169	0.000000
7.560000e+02	2.098109	0.000000
