Wavelength(nm)	R_simulated	R_experimental
3.132500e+02	0.479751	0.241970
3.135000e+02	0.475567	0.239870
3.137500e+02	0.471324	0.237750
3.140000e+02	0.467022	0.235680
3.142500e+02	0.462662	0.233710
3.145000e+02	0.458243	0.231650
3.147500e+02	0.453765	0.229560
3.150000e+02	0.449227	0.227450
3.152500e+02	0.444630	0.225260
3.155000e+02	0.439973	0.223170
3.157500e+02	0.435256	0.221150
3.160000e+02	0.430480	0.218840
3.162500e+02	0.425644	0.216460
3.165000e+02	0.420750	0.214270
3.167500e+02	0.415796	0.212180
3.170000e+02	0.410785	0.210040
3.172500e+02	0.405715	0.208120
3.175000e+02	0.400586	0.205990
3.177500e+02	0.395400	0.203540
3.180000e+02	0.390157	0.201330
3.182500e+02	0.384857	0.199390
3.185000e+02	0.379502	0.197380
3.187500e+02	0.374092	0.195370
3.190000e+02	0.368629	0.193210
3.192500e+02	0.363112	0.190880
3.195000e+02	0.357543	0.188730
3.197500e+02	0.351923	0.186720
3.200000e+02	0.346253	0.184710
3.202500e+02	0.340534	0.182480
3.205000e+02	0.334770	0.180070
3.207500e+02	0.328960	0.177870
3.210000e+02	0.323106	0.175750
3.212500e+02	0.317209	0.173480
3.215000e+02	0.311273	0.171440
3.217500e+02	0.305299	0.169520
3.220000e+02	0.299290	0.167630
3.222500e+02	0.293247	0.165530
3.225000e+02	0.287174	0.163310
3.227500e+02	0.281071	0.160930
3.230000e+02	0.274942	0.158500
3.232500e+02	0.268791	0.156270
3.235000e+02	0.262620	0.154270
3.237500e+02	0.256431	0.152150
3.240000e+02	0.250229	0.149830
3.242500e+02	0.244017	0.147610
3.245000e+02	0.237798	0.145530
3.247500e+02	0.231575	0.143480
3.250000e+02	0.225354	0.141070
3.252500e+02	0.219137	0.138930
3.255000e+02	0.212929	0.137010
3.257500e+02	0.206734	0.134680
3.260000e+02	0.200557	0.132510
3.262500e+02	0.194403	0.130660
3.265000e+02	0.188274	0.128500
3.267500e+02	0.182178	0.126200
3.270000e+02	0.176117	0.124070
3.272500e+02	0.170098	0.122100
3.275000e+02	0.164126	0.119970
3.277500e+02	0.158206	0.117640
3.280000e+02	0.152344	0.115540
3.282500e+02	0.146544	0.113650
3.285000e+02	0.140813	0.111590
3.287500e+02	0.135155	0.109450
3.290000e+02	0.129578	0.107460
3.292500e+02	0.124085	0.105680
3.295000e+02	0.118683	0.103770
3.297500e+02	0.113379	0.101400
3.300000e+02	0.108176	0.099490
3.302500e+02	0.103082	0.097550
3.305000e+02	0.098102	0.095390
3.307500e+02	0.093241	0.093920
3.310000e+02	0.088506	0.092500
3.312500e+02	0.083902	0.090500
3.315000e+02	0.079434	0.088680
3.317500e+02	0.075107	0.086910
3.320000e+02	0.070928	0.085130
3.322500e+02	0.066900	0.083630
3.325000e+02	0.063030	0.081970
3.327500e+02	0.059321	0.080270
3.330000e+02	0.055778	0.078540
3.332500e+02	0.052406	0.077020
3.335000e+02	0.049208	0.075440
3.337500e+02	0.046189	0.073850
3.340000e+02	0.043352	0.072170
3.342500e+02	0.040701	0.070630
3.345000e+02	0.038239	0.069130
3.347500e+02	0.035967	0.067830
3.350000e+02	0.033890	0.066410
3.352500e+02	0.032009	0.064930
3.355000e+02	0.030326	0.063570
3.357500e+02	0.028843	0.062340
3.360000e+02	0.027560	0.061110
3.362500e+02	0.026479	0.059910
3.365000e+02	0.025601	0.058790
3.367500e+02	0.024925	0.057760
3.370000e+02	0.024451	0.056500
3.372500e+02	0.024180	0.055080
3.375000e+02	0.024110	0.054130
3.377500e+02	0.024240	0.053180
3.380000e+02	0.024569	0.052030
3.382500e+02	0.025096	0.051320
3.385000e+02	0.025817	0.050510
3.387500e+02	0.026732	0.049130
3.390000e+02	0.027837	0.048470
3.392500e+02	0.029131	0.047840
3.395000e+02	0.030609	0.046860
3.397500e+02	0.032268	0.046180
3.400000e+02	0.034106	0.045560
3.402500e+02	0.036118	0.044550
3.405000e+02	0.038300	0.044210
3.407500e+02	0.040650	0.043820
3.410000e+02	0.043161	0.042960
3.412500e+02	0.045830	0.042430
3.415000e+02	0.048653	0.042220
3.417500e+02	0.051625	0.042140
3.420000e+02	0.054741	0.041660
3.422500e+02	0.057996	0.040840
3.425000e+02	0.061387	0.040900
3.427500e+02	0.064907	0.041140
