Energía	OFF	ON	Delta R/R		
5.89914	0.2284	0.22547	-1.29844
5.89634	0.23461	0.23122	-1.46716
5.89354	0.24409	0.24091	-1.31931
5.89074	0.24865	0.24574	-1.18445
5.88794	0.25849	0.25526	-1.26895
5.88514	0.26529	0.26241	-1.09516
5.88235	0.27413	0.2712	-1.07923
5.87956	0.27989	0.27725	-0.95036
5.87678	0.28606	0.28327	-0.98611
5.87399	0.29435	0.29175	-0.89151
5.87121	0.29875	0.29609	-0.89785
5.86843	0.30735	0.305	-0.77171
5.86566	0.31223	0.30999	-0.72367
5.86288	0.31969	0.31734	-0.73972
5.86011	0.32671	0.32463	-0.6414
5.85735	0.33191	0.3298	-0.64109
5.85458	0.33868	0.33661	-0.6151
5.85182	0.34278	0.34085	-0.56648
5.84906	0.34924	0.34747	-0.50915
5.8463	0.35254	0.35082	-0.49076
5.84354	0.35989	0.35834	-0.43307
5.84079	0.36509	0.3636	-0.41013
5.83804	0.3695	0.3683	-0.32558
5.83529	0.37425	0.37269	-0.4178
5.83255	0.37952	0.37825	-0.33557
5.82981	0.38416	0.3832	-0.24998
5.82707	0.38722	0.38646	-0.19731
5.82433	0.39309	0.3922	-0.2281
5.8216	0.39689	0.39609	-0.20248
5.81886	0.40111	0.40035	-0.19096
5.81614	0.40478	0.40419	-0.14762
5.81341	0.40945	0.40902	-0.10697
5.81068	0.41229	0.41188	-0.10058
5.80796	0.41528	0.41489	-0.09284
5.80524	0.41964	0.4192	-0.104
5.80253	0.42155	0.42148	-0.01742
5.79981	0.42611	0.42602	-0.02086
5.7971	0.4287	0.42878	0.01976
5.79439	0.43224	0.43214	-0.02339
5.79169	0.43508	0.43519	0.02641
5.78898	0.43757	0.43759	0.00642
5.78628	0.44063	0.44076	0.03007
5.78358	0.4426	0.44268	0.01959
5.78089	0.44551	0.44591	0.08946
5.77819	0.44707	0.44737	0.06812
5.7755	0.45032	0.45077	0.09884
5.77281	0.45215	0.45283	0.15061
5.77013	0.45439	0.45512	0.16014
5.76744	0.4564	0.45709	0.15073
5.76476	0.4578	0.45845	0.14165
5.76208	0.45989	0.46099	0.23968
5.75941	0.46127	0.46176	0.10513
5.75673	0.46366	0.46442	0.16404
5.75406	0.46479	0.46566	0.18691
5.75139	0.46631	0.46728	0.20685
5.74873	0.46784	0.46863	0.16881
5.74606	0.46909	0.46998	0.18904
5.7434	0.47026	0.47129	0.21862
5.74074	0.47102	0.47209	0.22832
5.73808	0.47292	0.47363	0.15027
5.73543	0.47314	0.47456	0.29814
5.73278	0.47471	0.47582	0.23246
5.73013	0.47543	0.47668	0.26257
5.72748	0.47644	0.47776	0.27585
5.72484	0.47726	0.47821	0.19895
5.7222	0.47762	0.47859	0.20278
5.71956	0.4786	0.47952	0.19317
5.71692	0.47863	0.47995	0.27415
5.71429	0.47963	0.48066	0.2136
5.71165	0.47981	0.4809	0.22592
5.70902	0.48025	0.48111	0.17853
5.7064	0.48035	0.48168	0.27467
5.70377	0.48062	0.48192	0.2706
