Energía	OFF	ON	Delta R/R
5.41485	0.28276	0.28938	-0.57254
5.41248	0.28549	0.29212	-0.58822
5.41012	0.29282	0.2998	-0.53152
5.40776	0.29675	0.30387	-0.51831
5.40541	0.3029	0.31022	-0.49857
5.40305	0.30719	0.31455	-0.52004
5.4007	0.31184	0.31925	-0.53921
5.39835	0.31598	0.32358	-0.50947
5.396	0.31863	0.32612	-0.5628
5.39365	0.32491	0.33256	-0.56101
5.3913	0.3288	0.33656	-0.55265
