Energy (eV),n (Simulated),k (Simulated)
12.330827067669173,1.1877124936632224,0.3831480816271715
12.3734335839599,1.1895239141225353,0.38475456720624474
12.416040100250626,1.191128796805432,0.38661557912127664
12.458646616541353,1.1924989527902374,0.38870815426372896
12.50125313283208,1.1936090696194668,0.39100209110154277
12.543859649122806,1.194438682866053,0.39346016991280935
12.586466165413533,1.1949742342981156,0.3960390387495435
12.62907268170426,1.195210950176122,0.39869084691150497
12.671679197994987,1.1951542210893735,0.4013655761142812
12.714285714285714,1.1948201910989489,0.4040138587841572
12.75689223057644,1.1942353822533518,0.40658993714867125
12.799498746867167,1.1934353635440698,0.4090543620833696
12.842105263157894,1.1924626602756,0.41137608384387875
12.88471177944862,1.1913642258758737,0.4135337285621478
12.927318295739347,1.1901888274464056,0.41551602982464414
12.969924812030074,1.1889846357695557,0.41732153328532845
13.0125313283208,1.187797198696899,0.4189577761528682
13.055137844611528,1.1866678598448652,0.42044015734279017
13.097744360902254,1.1856325951957134,0.42179067746592935
13.140350877192981,1.1847211907915327,0.4230366684429341
13.182957393483708,1.1839566708509812,0.4242095733936619
13.225563909774436,1.1833548951956374,0.42534379105076764
13.268170426065163,1.1829242657484906,0.4264755681347435
13.31077694235589,1.1826655062067681,0.4276419051495738
13.353383458646617,1.182571503887412,0.42887943188822025
13.395989974937343,1.1826272287130164,0.4302232063242724
13.43859649122807,1.1828097728132614,0.43170539540055164
13.481203007518797,1.183088585075037,0.4333538123587272
13.523809523809524,1.1834260041144748,0.4351903179334871
13.56641604010025,1.183778211270427,0.43722914567251275
13.609022556390977,1.1840967182707283,0.4394752828635856
13.651629072681704,1.184330456953846,0.44192311597070916
13.69423558897243,1.1844284419582756,0.4445556087190222
13.736842105263158,1.1843428392125392,0.44734428915524466
13.779448621553884,1.1840321247977663,0.45025025034429406
13.822055137844611,1.1834639121437756,0.45322621182438727
13.864661654135338,1.1826170136639158,0.4562194767918464
13.907268170426065,1.1814824113703426,0.4591754183608188
13.949874686716791,1.180063016916665,0.4620410097874423
13.992481203007518,1.1783723386021292,0.46476792175736154
14.035087719298245,1.1764323626967799,0.4673148362782338
14.077694235588972,1.174271046253074,0.46964881802686376
14.120300751879698,1.1719198012015983,0.4717457722494516
14.162907268170425,1.169411256393619,0.47359015285185935
14.205513784461152,1.1667774618682578,0.4751741468242053
14.248120300751879,1.1640485872616857,0.4764965613194695
14.290726817042605,1.1612520852595862,0.47756160101142203
14.333333333333332,1.158412245523754,0.4783776695915633
14.375939849624059,1.1555500482825036,0.47895627728851503
14.418546365914786,1.1526832297716871,0.47931109468970157
14.461152882205512,1.1498264847166408,0.4794571641571583
14.50375939849624,1.14699174741431,0.4794102623988207
14.546365914786966,1.1441885087814756,0.4791863985324042
14.588972431077693,1.1414241401345433,0.47880142844220214
14.631578947368421,1.1387042049320741,0.47827076608575336
14.674185463659148,1.1360327474156564,0.477609174027832
14.716791979949875,1.1334125524904846,0.47683061782130326
14.759398496240602,1.1308453748156968,0.4759481713155838
14.802005012531328,1.1283321373971669,0.4749739622471336
