Energy (eV),n,k
3.306306,2.757790,0.148014
3.314314,2.759031,0.160078
3.322322,2.759287,0.172452
3.330330,2.758503,0.185000
3.338338,2.756650,0.197568
3.346346,2.753732,0.209996
3.354354,2.749786,0.222123
3.362362,2.744882,0.233797
3.370370,2.739121,0.244886
3.378378,2.732627,0.255279
3.386386,2.725541,0.264897
3.394394,2.718011,0.273691
3.402402,2.710188,0.281645
3.410410,2.702212,0.288768
3.418418,2.694212,0.295098
3.426426,2.686298,0.300686
3.434434,2.678564,0.305600
3.442442,2.671081,0.309916
3.450450,2.663906,0.313711
3.458458,2.657074,0.317063
3.466466,2.650608,0.320048
3.474474,2.644518,0.322736
3.482482,2.638804,0.325191
3.490490,2.633456,0.327470
3.498498,2.628459,0.329623
3.506507,2.623794,0.331694
3.514515,2.619436,0.333720
3.522523,2.615360,0.335730
3.530531,2.611535,0.337750
3.538539,2.607933,0.339799
3.546547,2.604523,0.341891
3.554555,2.601274,0.344034
3.562563,2.598154,0.346232
3.570571,2.595131,0.348486
3.578579,2.592176,0.350789
3.586587,2.589257,0.353131
3.594595,2.586346,0.355497
3.602603,2.583416,0.357866
3.610611,2.580442,0.360213
3.618619,2.577404,0.362507
3.626627,2.574284,0.364712
3.634635,2.571073,0.366789
3.642643,2.567766,0.368694
3.650651,2.564369,0.370379
3.658659,2.560895,0.371797
3.666667,2.557370,0.372900
3.674675,2.553828,0.373645
3.682683,2.550317,0.373993
3.690691,2.546894,0.373915
3.698699,2.543624,0.373393
3.706707,2.540577,0.372425
3.714715,2.537828,0.371023
3.722723,2.535447,0.369217
3.730731,2.533501,0.367055
3.738739,2.532044,0.364598
3.746747,2.531118,0.361918
3.754755,2.530746,0.359098
3.762763,2.530936,0.356223
3.770771,2.531677,0.353376
3.778779,2.532940,0.350635
3.786787,2.534686,0.348069
3.794795,2.536862,0.345737
3.802803,2.539410,0.343684
3.810811,2.542266,0.341942
3.818819,2.545368,0.340530
3.826827,2.548655,0.339457
3.834835,2.552068,0.338721
3.842843,2.555557,0.338313
3.850851,2.559075,0.338215
3.858859,2.562582,0.338409
3.866867,2.566046,0.338869
3.874875,2.569441,0.339572
3.882883,2.572745,0.340490
3.890891,2.575942,0.341600
3.898899,2.579021,0.342876
3.906907,2.581974,0.344294
3.914915,2.584797,0.345834
3.922923,2.587489,0.347474
3.930931,2.590050,0.349198
3.938939,2.592482,0.350988
3.946947,2.594790,0.352831
3.954955,2.596976,0.354714
3.962963,2.599048,0.356625
3.970971,2.601010,0.358555
3.978979,2.602870,0.360497
3.986987,2.604633,0.362442
3.994995,2.606305,0.364386
4.003003,2.607893,0.366322
4.011011,2.609404,0.368249
4.019019,2.610842,0.370161
4.027027,2.612213,0.372057
4.035035,2.613524,0.373935
4.043043,2.614779,0.375792
4.051051,2.615984,0.377629
4.059059,2.617142,0.379443
4.067067,2.618257,0.381236
4.075075,2.619335,0.383007
4.083083,2.620379,0.384755
4.091091,2.621392,0.386481
4.099099,2.622377,0.388186
4.107107,2.623338,0.389869
4.115115,2.624278,0.391532
4.123123,2.625198,0.393175
4.131131,2.626101,0.394798
4.139139,2.626991,0.396403
4.147147,2.627867,0.397990
4.155155,2.628733,0.399560
4.163163,2.629591,0.401114
4.171171,2.630441,0.402653
4.179179,2.631285,0.404176
4.187187,2.632126,0.405686
4.195195,2.632963,0.407182
4.203203,2.633799,0.408667
4.211211,2.634634,0.410139
4.219219,2.635470,0.411600
4.227227,2.636307,0.413051
4.235235,2.637146,0.414492
4.243243,2.637989,0.415925
4.251251,2.638835,0.417349
4.259259,2.639687,0.418765
4.267267,2.640543,0.420174
4.275275,2.641406,0.421577
4.283283,2.642276,0.422974
4.291291,2.643153,0.424366
4.299299,2.644038,0.425753
4.307307,2.644931,0.427136
4.315315,2.645833,0.428516
4.323323,2.646745,0.429893
4.331331,2.647666,0.431267
4.339339,2.648598,0.432639
4.347347,2.649540,0.434010
4.355355,2.650493,0.435381
4.363363,2.651458,0.436751
4.371371,2.652434,0.438121
4.379379,2.653422,0.439493
4.387387,2.654423,0.440865
4.395395,2.655436,0.442239
4.403403,2.656462,0.443616
4.411411,2.657501,0.444996
4.419419,2.658554,0.446379
4.427427,2.659620,0.447766
4.435435,2.660700,0.449157
4.443443,2.661794,0.450553
4.451451,2.662902,0.451954
4.459459,2.664025,0.453362
4.467467,2.665163,0.454776
4.475475,2.666315,0.456196
4.483483,2.667481,0.457624
4.491491,2.668663,0.459060
4.499499,2.669861,0.460505
4.507508,2.671073,0.461958
4.515516,2.672301,0.463421
4.523524,2.673544,0.464894
4.531532,2.674803,0.466377
4.539540,2.676077,0.467871
4.547548,2.677367,0.469377
4.555556,2.678673,0.470894
4.563564,2.679994,0.472424
4.571572,2.681331,0.473967
4.579580,2.682684,0.475524
4.587588,2.684053,0.477094
4.595596,2.685438,0.478679
4.603604,2.686839,0.480279
4.611612,2.688255,0.481894
4.619620,2.689687,0.483526
4.627628,2.691135,0.485174
4.635636,2.692598,0.486839
4.643644,2.694078,0.488521
4.651652,2.695572,0.490222
4.659660,2.697082,0.491941
4.667668,2.698608,0.493679
4.675676,2.700149,0.495437
4.683684,2.701705,0.497215
4.691692,2.703276,0.499014
4.699700,2.704861,0.500834
4.707708,2.706462,0.502676
4.715716,2.708077,0.504540
4.723724,2.709707,0.506426
4.731732,2.711351,0.508336
4.739740,2.713009,0.510269
4.747748,2.714681,0.512227
4.755756,2.716366,0.514210
4.763764,2.718065,0.516217
4.771772,2.719777,0.518251
4.779780,2.721502,0.520311
4.787788,2.723240,0.522398
4.795796,2.724990,0.524512
4.803804,2.726752,0.526654
4.811812,2.728526,0.528824
4.819820,2.730311,0.531023
4.827828,2.732108,0.533251
4.835836,2.733915,0.535509
4.843844,2.735733,0.537797
4.851852,2.737562,0.540117
4.859860,2.739400,0.542467
4.867868,2.741247,0.544849
4.875876,2.743103,0.547264
4.883884,2.744968,0.549711
4.891892,2.746841,0.552191
4.899900,2.748721,0.554705
4.907908,2.750609,0.557253
4.915916,2.752504,0.559835
4.923924,2.754405,0.562452
4.931932,2.756312,0.565105
4.939940,2.758224,0.567793
4.947948,2.760140,0.570518
4.955956,2.762061,0.573279
4.963964,2.763986,0.576078
4.971972,2.765913,0.578913
4.979980,2.767844,0.581787
4.987988,2.769776,0.584699
4.995996,2.771709,0.587649
5.004004,2.773643,0.590638
5.012012,2.775578,0.593666
5.020020,2.777511,0.596734
5.028028,2.779444,0.599842
5.036036,2.781374,0.602989
5.044044,2.783302,0.606178
5.052052,2.785227,0.609407
5.060060,2.787148,0.612677
5.068068,2.789064,0.615988
5.076076,2.790974,0.619340
5.084084,2.792878,0.622734
5.092092,2.794776,0.626170
5.100100,2.796666,0.629648
5.108108,2.798547,0.633168
5.116116,2.800419,0.636731
5.124124,2.802281,0.640336
5.132132,2.804132,0.643983
5.140140,2.805971,0.647673
5.148148,2.807798,0.651406
5.156156,2.809611,0.655181
5.164164,2.811410,0.658999
5.172172,2.813195,0.662860
5.180180,2.814963,0.666763
5.188188,2.816715,0.670710
5.196196,2.818449,0.674698
5.204204,2.820164,0.678729
5.212212,2.821861,0.682803
5.220220,2.823537,0.686919
5.228228,2.825192,0.691077
5.236236,2.826825,0.695276
5.244244,2.828435,0.699518
5.252252,2.830021,0.703801
5.260260,2.831583,0.708124
5.268268,2.833120,0.712489
5.276276,2.834630,0.716894
5.284284,2.836113,0.721340
5.292292,2.837568,0.725825
5.300300,2.838993,0.730349
5.308308,2.840390,0.734913
5.316316,2.841755,0.739515
5.324324,2.843089,0.744154
5.332332,2.844391,0.748832
5.340340,2.845660,0.753546
5.348348,2.846895,0.758297
5.356356,2.848095,0.763083
5.364364,2.849259,0.767905
5.372372,2.850388,0.772761
5.380380,2.851479,0.777651
5.388388,2.852533,0.782574
5.396396,2.853548,0.787529
5.404404,2.854524,0.792516
5.412412,2.855461,0.797534
5.420420,2.856357,0.802582
5.428428,2.857211,0.807659
5.436436,2.858025,0.812765
5.444444,2.858796,0.817898
5.452452,2.859524,0.823057
5.460460,2.860208,0.828243
5.468468,2.860849,0.833453
5.476476,2.861445,0.838687
5.484484,2.861997,0.843943
5.492492,2.862504,0.849222
5.500501,2.862964,0.854521
5.508509,2.863379,0.859840
5.516517,2.863748,0.865178
5.524525,2.864070,0.870533
5.532533,2.864345,0.875905
5.540541,2.864573,0.881293
5.548549,2.864753,0.886694
5.556557,2.864887,0.892109
5.564565,2.864973,0.897537
5.572573,2.865011,0.902975
5.580581,2.865001,0.908423
5.588589,2.864944,0.913880
5.596597,2.864840,0.919344
5.604605,2.864688,0.924815
5.612613,2.864488,0.930291
5.620621,2.864241,0.935772
5.628629,2.863948,0.941255
5.636637,2.863607,0.946740
5.644645,2.863220,0.952226
5.652653,2.862787,0.957712
5.660661,2.862308,0.963195
5.668669,2.861784,0.968677
5.676677,2.861214,0.974154
5.684685,2.860601,0.979626
5.692693,2.859943,0.985093
5.700701,2.859242,0.990552
5.708709,2.858499,0.996004
5.716717,2.857713,1.001446
5.724725,2.856886,1.006878
5.732733,2.856019,1.012299
5.740741,2.855112,1.017707
5.748749,2.854166,1.023103
5.756757,2.853182,1.028484
5.764765,2.852161,1.033851
5.772773,2.851104,1.039201
5.780781,2.850012,1.044536
5.788789,2.848886,1.049852
5.796797,2.847726,1.055151
5.804805,2.846535,1.060430
5.812813,2.845313,1.065690
5.820821,2.844062,1.070929
5.828829,2.842782,1.076148
5.836837,2.841475,1.081344
5.844845,2.840143,1.086519
5.852853,2.838786,1.091672
5.860861,2.837406,1.096801
5.868869,2.836005,1.101907
5.876877,2.834584,1.106989
5.884885,2.833144,1.112047
5.892893,2.831686,1.117081
5.900901,2.830214,1.122090
5.908909,2.828727,1.127075
5.916917,2.827228,1.132035
5.924925,2.825717,1.136971
5.932933,2.824198,1.141882
5.940941,2.822671,1.146769
5.948949,2.821139,1.151632
5.956957,2.819602,1.156471
5.964965,2.818063,1.161286
5.972973,2.816523,1.166078
5.980981,2.814984,1.170848
5.988989,2.813449,1.175596
5.996997,2.811917,1.180322
6.005005,2.810393,1.185028
6.013013,2.808876,1.189715
6.021021,2.807370,1.194382
6.029029,2.805875,1.199032
6.037037,2.804394,1.203666
6.045045,2.802928,1.208284
6.053053,2.801480,1.212888
6.061061,2.800050,1.217480
6.069069,2.798641,1.222060
6.077077,2.797255,1.226632
6.085085,2.795892,1.231195
6.093093,2.794556,1.235753
6.101101,2.793247,1.240308
6.109109,2.791967,1.244861
6.117117,2.790717,1.249414
6.125125,2.789500,1.253970
6.133133,2.788316,1.258532
6.141141,2.787168,1.263103
6.149149,2.786055,1.267684
6.157157,2.784980,1.272278
6.165165,2.783944,1.276890
6.173173,2.782948,1.281521
