omega,n,k
10.890891,-0.032780,0.344263
10.904905,-0.016185,0.341380
10.918919,0.000398,0.338524
10.932933,0.016975,0.335695
10.946947,0.033552,0.332893
10.960961,0.050135,0.330118
10.974975,0.066732,0.327371
10.988989,0.083348,0.324651
11.003003,0.099991,0.321959
11.017017,0.116667,0.319294
11.031031,0.133385,0.316657
11.045045,0.150151,0.314048
11.059059,0.166974,0.311467
11.073073,0.183862,0.308913
11.087087,0.200824,0.306387
11.101101,0.217869,0.303889
11.115115,0.235007,0.301419
11.129129,0.252249,0.298976
11.143143,0.269604,0.296561
11.157157,0.287086,0.294174
11.171171,0.304706,0.291814
11.185185,0.322477,0.289481
11.199199,0.340416,0.287176
11.213213,0.358536,0.284898
11.227227,0.376855,0.282648
11.241241,0.395391,0.280424
11.255255,0.414165,0.278228
11.269269,0.433197,0.276058
11.283283,0.452513,0.273915
11.297297,0.472140,0.271798
11.311311,0.492105,0.269708
11.325325,0.512444,0.267644
11.339339,0.533192,0.265607
11.353353,0.554392,0.263595
11.367367,0.576090,0.261609
11.381381,0.598339,0.259648
11.395395,0.621203,0.257713
11.409409,0.644750,0.255803
11.423423,0.669064,0.253918
11.437437,0.694241,0.252058
11.451451,0.720394,0.250222
11.465465,0.747660,0.248411
11.479479,0.776201,0.246624
11.493493,0.806215,0.244861
11.507508,0.837948,0.243122
11.521522,0.871704,0.241406
11.535536,0.907870,0.239714
11.549550,0.946947,0.238044
11.563564,0.989591,0.236398
11.577578,1.036686,0.234774
11.591592,1.089453,0.233172
11.605606,1.149631,0.231593
11.619620,1.219790,0.230035
11.633634,1.303903,0.228500
11.647648,1.408470,0.226985
11.661662,1.544922,0.225492
11.675676,1.735446,0.224020
11.689690,2.029601,0.222568
11.703704,2.565574,0.221137
11.717718,3.929487,0.219727
11.731732,16.758435,0.218338
11.745746,-3.799018,0.216966
11.759760,-1.050315,0.215614
11.773774,-0.264164,0.214282
11.787788,0.124252,0.212971
11.801802,0.367038,0.211681
11.815816,0.541901,0.210417
11.829830,0.681226,0.209191
11.843844,0.801589,0.208035
11.857858,0.913362,0.207041
11.871872,1.025031,0.206467
11.885886,1.146665,0.207123
11.899900,1.296421,0.212056
11.913914,1.524049,0.237406
11.927928,2.046090,0.462922
11.941942,0.714838,1.834750
11.955956,0.885841,0.588147
11.969970,1.182307,0.513219
11.983984,1.302655,0.586290
11.997998,1.336183,0.631008
12.012012,1.368984,0.658819
12.026026,1.399938,0.686636
12.040040,1.430472,0.712344
12.054054,1.464710,0.736101
12.068068,1.504923,0.760318
12.082082,1.550547,0.787578
12.096096,1.598639,0.818350
12.110110,1.646716,0.849164
12.124124,1.696754,0.874785
12.138138,1.754638,0.892840
12.152152,1.826782,0.904405
12.166166,1.919427,0.911921
12.180180,2.040220,0.918021
12.194194,2.200727,0.925568
12.208208,2.420551,0.938613
12.222222,2.735937,0.965064
12.236236,3.221521,1.025013
12.250250,4.056917,1.184559
12.264264,5.790026,1.760296
12.278278,10.472465,5.908053
12.292292,-7.887544,14.114547
12.306306,-4.679037,3.231683
12.320320,-2.509170,1.868541
12.334334,-1.516123,1.472907
12.348348,-0.956033,1.303346
12.362362,-0.596213,1.214764
12.376376,-0.344275,1.163056
12.390390,-0.156684,1.131035
12.404404,-0.010338,1.110871
12.418418,0.108126,1.098618
12.432432,0.206942,1.092173
12.446446,0.291414,1.090401
12.460460,0.365043,1.092728
12.474474,0.430135,1.098920
12.488488,0.488122,1.108946
12.502503,0.539741,1.122855
12.516517,0.585142,1.140624
12.530531,0.624001,1.161971
12.544545,0.655729,1.186155
12.558559,0.679810,1.211852
12.572573,0.696238,1.237273
12.586587,0.705807,1.260577
12.600601,0.710039,1.280426
12.614615,0.710736,1.296317
12.628629,0.709468,1.308520
12.642643,0.707284,1.317726
12.656657,0.704732,1.324693
12.670671,0.702018,1.330051
12.684685,0.699181,1.334244
12.698699,0.696204,1.337564
12.712713,0.693074,1.340200
12.726727,0.689794,1.342276
12.740741,0.686391,1.343885
12.754755,0.682902,1.345100
12.768769,0.679376,1.345985
12.782783,0.675859,1.346603
12.796797,0.672399,1.347008
12.810811,0.669036,1.347254
12.824825,0.665807,1.347391
12.838839,0.662741,1.347465
12.852853,0.659860,1.347518
12.866867,0.657182,1.347588
12.880881,0.654719,1.347712
12.894895,0.652477,1.347922
12.908909,0.650457,1.348250
12.922923,0.648659,1.348723
12.936937,0.647073,1.349368
12.950951,0.645691,1.350213
12.964965,0.644494,1.351281
12.978979,0.643464,1.352595
12.992993,0.642572,1.354178
13.007007,0.641786,1.356049
13.021021,0.641067,1.358224
13.035035,0.640366,1.360713
13.049049,0.639630,1.363518
13.063063,0.638797,1.366634
13.077077,0.637802,1.370040
13.091091,0.636578,1.373701
13.105105,0.635061,1.377565
13.119119,0.633193,1.381565
13.133133,0.630934,1.385617
13.147147,0.628259,1.389628
13.161161,0.625166,1.393503
13.175175,0.621674,1.397149
13.189189,0.617825,1.400485
13.203203,0.613671,1.403445
13.217217,0.609275,1.405983
13.231231,0.604704,1.408070
13.245245,0.600022,1.409697
13.259259,0.595287,1.410866
13.273273,0.590550,1.411595
13.287287,0.585852,1.411907
13.301301,0.581228,1.411831
13.315315,0.576703,1.411399
13.329329,0.572294,1.410645
13.343343,0.568013,1.409600
13.357357,0.563869,1.408299
